Text,Expiry,Strike,Flag,Ticker
"🎨$1,000 —> $1,000,000 CHALLENGE🎨
[OPTIONS TRADING / 11 - 100% GAINERS]

$SFIX - $10.5 CALLS EXP. 4/22 @ $0.12-$0.13
( 83 contracts)

STOP LOSS: -22% @everyone
",4/22/2022,10.5,C,SFIX
"🎨$1,000 —> $1,000,000 CHALLENGE🎨
[OPTIONS TRADING / 11 - 100% GAINERS]

$TJX - $65 CALLS EXP. 4/22 @ $0.16-$0.18

STOP LOSS: -22%",4/22/2022,65,C,TJX
"🎨$1,000 —> $1,000,000 CHALLENGE🎨
[OPTIONS TRADING / 11 - 100% GAINERS]

$RAD- $8 CALLS EXP. 4/22 @ $0.10-$0.15

STOP LOSS: -22%",4/22/2022,8,C,RAD
"🎨$1,000 —> $1,000,000 CHALLENGE🎨
[OPTIONS TRADING / 11 - 100% GAINERS]

$MMM - $155 CALLS EXP. 4/22 @ $0.08-$0.12

STOP LOSS: -22%",4/22/2022,155,C,MMM
"🎨$1,000 —> $1,000,000 CHALLENGE🎨
[OPTIONS TRADING / 11 - 100% GAINERS]

$LAZR - $14.5 CALLS EXP. 4/29 @ $0.17-$0.20

STOP LOSS: -22%",4/29/2022,14.5,C,LAZR
Added more $LAZR $14.5 C EXP. 4/29 @ 0.15-$0.16 here @everyone,4/29/2022,14.5,C,LAZR
"
$AI - $22.5 CALLS EXP. 5/20 @ $0.45-$0.50

SL: -20% and don’t chase if $0.05+ above ask @everyone",5/20/2022,22.5,C,AI
"❄️$50 —> $200 CHALLENGE❄️

$WBA - $46.5 CALLS EXP. 4/29 @ $0.25-$0.30
(2 contracts) 

SL: -22%  @everyone ",4/29/2022,46.5,C,WBA
"🎨$1,000 —> $1,000,000 CHALLENGE🎨
[OPTIONS TRADING / 11 - 100% GAINERS]

$CVS - $106 CALLS EXP. 4/29 @ $0.26-$0.27",4/29/2022,106,C,CVS
$DWAC $50 calls exp. 4/29 @ $2.20 @everyone,4/29/2022,50,C,DWAC
"🎨$1,000 —> $1,000,000 CHALLENGE🎨
[OPTIONS TRADING / 11 - 100% GAINERS]

$CLX - $152.5 CALLS EXP. 4/29 @ $0.25-$0.35

STOP LOSS: -22%",4/29/2022,152.5,C,CLX
I just did $CLX $155 CALLS EXP. 4/29 @ $0.40 heavy,4/29/2022,155,C,CLX
"💸DAY-TRADE💸

$F - $14.5 CALLS EXP. 4/29 @ $0.12-$0.13 @everyone ",4/29/2022,14.5,C,F
"❄️DAY-TRADE / OPTIONS TRADE❄️

$BBIG - $3 CALLS EXP. MAY 6 @ $0.08

SL: -22%  @everyone",5/6/2022,3,C,BBIG
"If you missed first entry, I re-entered $BBIG $3 CALLS FOR 5/6 @ $0.10 for a bounce here @everyone",5/6/2022,3,C,BBIG
I entered $QQQ $320 P EXP. 4/27 @ $3.28,4/27/2022,320,P,QQQ
$BBIG re-entering $3 CALLS EXP. 5/6 @ $0.10 (-22% SL) for a bounce here,5/6/2022,3,C,BBIG
"❄️DAY-TRADE / OPTIONS TRADE❄️

$BBIG - $3 CALLS EXP. MAY 6 @ $0.08

SL: -22%",5/6/2022,3,C,BBIG
"@jimcramer
 $F $14.5 C EXP. 4/29 are printing because of you, thank you!",4/29/2022,14.5,C,F
"💸DAY-TRADE💸

$F - $14.5 CALLS EXP. 4/29 @ $0.12-$0.13

SL: -22%",4/29/2022,14.5,C,F
I just did $CLX $155 CALLS EXP. 4/29 @ $0.40 heavy,4/29/2022,155,C,CLX
"🎨$1,000 —> $1,000,000 CHALLENGE🎨
[OPTIONS TRADING / 11 - 100% GAINERS]

$CLX - $152.5 CALLS EXP. 4/29 @ $0.25-$0.35

STOP LOSS: -22%",4/29/2022,152.5,C,CLX
Entered $DWAC $50 CALLS EXP. 4/29 @ $2.20,4/29/2022,50,C,DWAC
Entered $MMAT $2 CALLS EXP. 4/14 @ $0.10-$0.13,4/14/2022,2,C,MMAT
Entered $PLX $2 CALLS EXP. 4/14 @ $0.20-$0.25,4/14/2022,2,C,PLX
Entered $SST calls here $22 C EXP. 4/8 @ $3.90 (high risk),4/8/2022,22,C,SST
ENTERED: $BBAI - $15 CALLS EXP. 4/14 @ $3.00,4/14/2022,15,C,BBAI
"🔥$100 - $1,000 CHALLENGE🔥

ENTERED: $BBAI - $15 CALLS EXP. 4/14 @ $1.00

(At this point LMFAOOO, only money you can afford to lose) my average cost is $2.80 or some shit lmfaoo",4/14/2022,15,C,BBAI
"$BBAI $15 CALLS EXP. 4/14 final updates, I’m holding these contracts until 1,000% or $0.00 at this point. No reason for this sell-off",4/14/2022,15,C,BBAI
"$BBAI $15 C EXP. 4/14 are so cheap, I wish I had more buying power😭",4/14/2022,15,C,BBAI
"$BBAI $15 C EXP. 4/14 has 22,899 in volume today…nice",4/14/2022,15,C,BBAI
Adding more $BBAI $15 CALLS EXP. 4/14 fuck it averaging down here @ $0.45,4/14/2022,15,C,BBAI
I’m still adding $15 CALLS EXP. 4/14 for $BBAI here @ $0.55 HAHAHHA my average is high so might as well average down here!,4/14/2022,15,C,BBAI
Added more $BBAI $15 C EXP. 4/14 @ $0.50 haha,4/14/2022,15,C,BBAI
ADDED: $ATER $5.5 C EXP. 4/14 @ $0.15-$0.16,4/14/2022,5.5,C,ATER
Bought more $ATER $5.5 C EXP. 4/9 here @ $0.09,4/9/2022,5.5,C,ATER
I’m dumb $ATER $5.5 C EXP. 4/8 @ $0.09!,4/8/2022,5.5,C,ATER
I’m holding $ATER $5.5 C EXP. 4/14 FULL (you can scale out if you want),4/14/2022,5.5,C,ATER
Adding more $ATER shares here @ $4.55 &’ a few more contracts $5.5 C EXP. 4/8 @ $0.12,4/8/2022,5.5,C,ATER
Entered $BGFV $20 CALLS EXP. 4/14 @ $0.30,4/14/2022,20,C,BGFV
Entered $MNTS $5 C EXP. 4/14 @ $0.15-$0.20 max,4/14/2022,5,C,MNTS
HIGH RISK PLEASE DONT GO ALL IN LMFAOOOO Entering $VERU - $17.5 CALLS EXP. 4/14 @ $0.60 DONT VE DUMB,4/14/2022,17.5,C,VERU
"⚡️DAY-TRADE: ⚡️

$HOOD - $13 C EXP. 4/14 @ $0.11

SL: none - high risk",4/14/2022,13,C,HOOD
"$IMPP - $1.5 C EXP. 4/14 @ $0.15

SL: high risk lol",4/14/2022,1.5,C,IMPP
"⚡️DAY-TRADE⚡️

$BCTX - $12.5 CALLS EXP. 4/14 @ $1.00

SL: none",4/14/2022,12.5,C,BCTX
"$MKTW - $5 C EXP. 4/14 @ $0.10-$0.15 max fuck it, we ball🏌🏻",4/14/2022,5,C,MKTW
Lotto-Trade / Day-Trade: $BBBY - $19 CALLS EXP. 4/22 @ $0.38 (-20% SL),4/22/2022,19,C,BBBY
"🎨$1,000 —> $1,000,000 CHALLENGE🎨
[OPTIONS TRADING / 11 - 100% GAINERS]

$SFIX - $10.5 CALLS EXP. 4/22 @ $0.12-$0.13
( 83 contracts)

STOP LOSS: -22% @everyone
",4/22/2022,10.5,C,SFIX
"⚠️EARNINGS PLAY / 100% HIGH RISK⚠️

$NFLX - $420 CALLS EXP. 4/22 @ $0.60

$NFLX - $250 PUTS EXP. 4/22 @ $0.75 

(I ONLY HAVE 2 CONTRACTS OF EACH! IM NOT GOING IN HEAVY!)",4/22/2022,420,C,NFLX
"🎨$1,000 —> $1,000,000 CHALLENGE🎨
[OPTIONS TRADING / 11 - 100% GAINERS]

$TJX - $65 CALLS EXP. 4/22 @ $0.16-$0.18

STOP LOSS: -22%",4/22/2022,65,C,TJX
"🔥SWING TRADE / POSSIBLE DAY-TRADE🔥

$FB - $245 C EXP. 4/29 @ $1.10

STOP LOSS: -60%",4/29/2022,245,C,FB
